,Primary Category,URL,label
0,Arts & Humanities,http://www.sixty8.com/,13
1,Arts & Humanities,http://www.abandonedcommunities.co.uk/,13
2,Arts & Humanities,http://www.greekthomson.com/,13
3,Arts & Humanities,http://www.arabbritishcentre.org.uk/ ,13
4,Arts & Humanities,http://www.aaschool.ac.uk/,13
5,Arts & Humanities,http://www.ahra-architecture.org/,13
6,Arts & Humanities,http://www.architecture.com/,13
7,Arts & Humanities,http://www.architecture.com/TheRIBA/WhatTheRIBADoes/PublicAffairs/RIBAManifesto.aspx,13
8,Arts & Humanities,http://architecturemps.com/,13
9,Arts & Humanities,http://www.artek-design-house.co.uk/,13
10,Arts & Humanities,http://www.bbc.co.uk/news/uk-england-birmingham-20808701,13
11,Arts & Humanities,http://news.bbc.co.uk/1/hi/england/2707593.stm,13
12,Arts & Humanities,http://www.bbc.co.uk/news/entertainment-arts-22024351,13
13,Arts & Humanities,http://www.bre.co.uk/,13
14,Arts & Humanities,http://projects.bre.co.uk/,13
15,Arts & Humanities,http://www.barbican.org.uk/artgallery/event-detail.asp?ID=12472,13
16,Arts & Humanities,http://www.baufritz.com/uk/,13
17,Arts & Humanities,http://www.boothsgardenstudios.co.uk/,13
18,Arts & Humanities,http://www.bradenhamhall.co.uk/,13
19,Arts & Humanities,http://www.breathingbuildings.com/,13
20,Arts & Humanities,http://www.flickr.com/photos/qmh,13
21,Arts & Humanities,http://www.medievalarchitecture.net/,13
22,Arts & Humanities,http://www.britishpostofficearchitects.weebly.com/,13
23,Arts & Humanities,http://www.brookgate.eu/,13
24,Arts & Humanities,http://www.buildinghistory.org.uk/,13
25,Arts & Humanities,http://www.buildingworkersstories.com/,13
26,Arts & Humanities,http://www.buildingforlife.org/,13
27,Arts & Humanities,http://www.building4change.com/,13
28,Arts & Humanities,http://www.coel.uk.com/,13
29,Arts & Humanities,http://www.druidic.org/camchurch/,13
30,Arts & Humanities,http://www.canterbury-cathedral.org/,13
31,Arts & Humanities,http://www.capeli.org.uk/,13
32,Arts & Humanities,http://www.capeli.org.uk/,13
33,Arts & Humanities,http://members.multimania.co.uk/aitch11/,13
34,Arts & Humanities,http://www.castlestudiesgroup.org.uk/,13
35,Arts & Humanities,http://www.ecastles.co.uk/,13
36,Arts & Humanities,http://www.cae.org.uk/,13
37,Arts & Humanities,http://www.chapelssociety.org.uk/,13
38,Arts & Humanities,http://www.charlesdickensbirthplace.co.uk/,13
39,Arts & Humanities,www.crmsociety.com/,13
40,Arts & Humanities,http://www.ciat.org.uk/,13
41,Arts & Humanities,http://www.churchcrawler.pwp.blueyonder.co.uk/pmdraper10/homepage.htm,13
42,Arts & Humanities,http://www.churchmonumentssociety.org/,13
43,Arts & Humanities,http://www.visitchurches.org.uk/,13
44,Arts & Humanities,http://www.cinema-theatre.org.uk/,13
45,Arts & Humanities,http://www.cityofsound.com/,13
46,Arts & Humanities,http://www.clevelandstreetworkhouse.org/,13
47,Arts & Humanities,http://www.cabe.org.uk/,13
48,Arts & Humanities,http://www.cabe.org.uk/london-2012/,13
49,Arts & Humanities,http://www.cwgc.org/,13
50,Arts & Humanities,http://www.constructingexcellence.org.uk/,13
51,Arts & Humanities,http://www.new-cis.com/,13
52,Arts & Humanities,http://www.theguitarcollection.org.uk/dingdongcounthouse/,13
53,Arts & Humanities,http://www.designliverpool.org.uk/,13
54,Arts & Humanities,http://www.easanet.co.uk/,13
55,Arts & Humanities,http://www.ecotecture.co.uk/,13
56,Arts & Humanities,http://sites.google.com/site/edinburghdeanofguild/,13
